IDs	size (bp)	RNA-seq	Genome
PgCP_00000123	1221	1221	0
PgCP_00000128	923	923	0
PgCP_00000129	1273	1273	0
PgCP_00000130	1280	1280	0
PgCP_00000131	1831	1831	0
PgCP_00000132	998	998	0
PgCP_00000124	997	997	0
PgCP_00000125	1384	1384	0
PgCP_00000126	1061	1061	0
PgCP_00000127	1027	1027	0
PgCP_00000133	1053	1053	0
PgCP_00000134	2634	2634	0
PgCP_00000140	624	624	0
PgCP_00000148	3211	3211	0
PgCP_00000141	1075	1075	0
PgCP_00000142	1316	1316	0
PgCP_00000143	1113	1113	0
PgCP_00000144	2339	2339	0
PgCP_00000145	2320	2320	0
PgCP_00000149	1885	1885	0
PgCP_00000151	2322	2322	0
PgCP_00000152	1998	1998	0
PgCP_00000153	2544	2544	0
PgCP_00000156	1356	1356	0
PgCP_00000155	3353	3353	0
PgCP_00000157	1308	1308	0
PgCP_00000158	1810	1810	0
PgCP_00000159	1788	1788	0
PgCP_00000160	1609	1609	0
PgCP_00000163	2385	2385	0
PgCP_00000164	1854	1854	0
PgCP_00000167	1249	1249	0
PgCP_00000168	2718	2718	0
PgCP_00000170	1677	1677	0
PgCP_00000171	1486	1486	0
PgCP_00000183	535	535	0
PgCP_00000184	776	776	0
PgCP_00000172	1292	1292	0
PgCP_00000173	2391	2391	0
PgCP_00000174	1727	1727	0
PgCP_00000175	3491	3491	0
PgCP_00000176	2641	2641	0
PgCP_00000177	1810	1810	0
PgCP_00000178	1666	1666	0
PgCP_00000179	2407	2407	0
PgCP_00000180	2491	2491	0
PgCP_00000181	2414	2414	0
PgCP_00000182	1689	1689	0
PgCP_00000169	1517	1517	0
PgCP_00000186	1132	1132	0
PgCP_00000187	1264	1264	0
PgCP_00000188	849	849	0
PgCP_00000195	1329	1329	0
PgCP_00000196	1529	1529	0
PgCP_00000197	1008	1008	0
PgCP_00000189	1065	1065	0
PgCP_00000190	1154	1154	0
PgCP_00000191	1615	1615	0
PgCP_00000192	1207	1207	0
PgCP_00000193	1213	1213	0
PgCP_00000194	767	767	0
PgCP_00000208	4061	4061	0
PgCP_00000209	1986	1985	0
PgCP_00000210	1664	1663	0
PgCP_00000200	983	983	0
PgCP_00000211	1045	1045	0
PgCP_00000212	1347	1347	0
PgCP_00000213	1373	1373	0
PgCP_00000214	1101	1101	0
PgCP_00000215	1936	1936	0
PgCP_00000216	1980	1980	0
PgCP_00000217	2238	2238	0
PgCP_00000218	1671	1671	0
PgCP_00000219	2463	2463	0
PgCP_00000220	2154	2154	0
PgCP_00000221	1755	1755	0
PgCP_00000222	1199	1199	0
PgCP_00000223	1823	1823	0
PgCP_00000224	2221	2221	0
PgCP_00000225	1297	1297	0
PgCP_00000226	1387	1387	0
PgCP_00000227	1078	1078	0
PgCP_00000201	1607	1607	0
PgCP_00000202	1934	1934	0
PgCP_00000203	2506	2506	0
PgCP_00000204	2764	2764	0
PgCP_00000205	1666	1666	0
PgCP_00000206	2001	2001	0
PgCP_00000207	1652	1652	0
PgCP_00000240	781	781	0
PgCP_00000230	2082	2082	0
PgCP_00000231	1656	1656	0
PgCP_00000232	1615	1615	0
PgCP_00000233	1473	1473	0
PgCP_00000234	1470	1470	0
PgCP_00000235	2895	2895	0
PgCP_00000236	1580	1580	0
PgCP_00000237	2121	2121	0
PgCP_00000238	2096	2096	0
PgCP_00000239	2118	2118	0
PgCP_00000241	1552	1552	0
PgCP_00000242	1744	1744	0
PgCP_00000243	786	786	0
PgCP_00000244	4736	4736	0
PgCP_00000245	4324	4324	0
PgCP_00000246	3948	3948	0
PgCP_00000247	3696	3696	0
PgCP_00000248	4879	4879	0
PgCP_00000249	4331	4331	0
PgCP_00000250	4693	4693	0
PgCP_00000251	2398	2398	0
PgCP_00000252	3959	3959	0
PgCP_00000253	3323	3323	0
PgCP_00000254	3410	3410	0
PgCP_00000255	1865	1865	0
PgCP_00000256	2769	2769	0
PgCP_00000257	3501	3501	0
PgCP_00000258	3161	3161	0
PgCP_00000259	3013	3013	0
PgCP_00000260	2006	2006	0
PgCP_00000261	3559	3559	0
PgCP_00000262	3213	3213	0
PgCP_00000263	3381	3381	0
PgCP_00000264	3509	3509	0
PgCP_00000282	5123	5123	0
PgCP_00000283	1698	1698	0
PgCP_00000284	1150	1150	0
PgCP_00000285	840	840	0
PgCP_00000269	1957	1957	0
PgCP_00000270	2605	2605	0
PgCP_00000271	2605	2605	0
PgCP_00000272	2241	2241	0
PgCP_00000273	3099	3099	0
PgCP_00000274	3469	3469	0
PgCP_00000275	2829	2829	0
PgCP_00000276	3161	3161	0
PgCP_00000277	1857	1857	0
PgCP_00000278	3656	3656	0
PgCP_00000279	2458	2458	0
PgCP_00000280	2735	2735	0
PgCP_00000281	3735	3735	0
PgCP_00000287	1228	1228	0
PgCP_00000289	1946	1946	0
PgCP_00000290	1886	1886	0
PgCP_00000293	1160	1160	0
PgCP_00000294	2240	2240	0
PgCP_00000300	2873	2873	0
PgCP_00000301	2419	2419	0
PgCP_00000302	2025	2025	0
PgCP_00000303	2070	2070	0
PgCP_00000298	1471	1471	0
PgCP_00000299	1698	1698	0
PgCP_00000305	1501	1501	0
PgCP_00000307	1352	1352	0
PgCP_00000315	2872	2872	0
PgCP_00000316	2444	2444	0
PgCP_00000317	1313	1313	0
PgCP_00000318	2730	2730	0
PgCP_00000319	1254	1254	0
PgCP_00000308	2382	2382	0
PgCP_00000309	3214	3214	0
PgCP_00000310	3363	3363	0
PgCP_00000311	4168	4168	0
PgCP_00000312	2195	2195	0
PgCP_00000313	2043	2043	0
PgCP_00000314	1350	1350	0
PgCP_00000320	1899	1898	0
PgCP_00000321	3654	3653	0
PgCP_00000322	3764	3763	0
PgCP_00000323	2569	2568	0
PgCP_00000324	7243	7243	0
PgCP_00000325	4914	4914	0
PgCP_00000326	3992	3992	0
PgCP_00000327	2618	2618	0
PgCP_00000328	3554	3554	0
PgCP_00000329	4417	4417	0
PgCP_00000330	3701	3701	0
PgCP_00000337	1875	1875	0
PgCP_00000338	2973	2973	0
PgCP_00000339	3192	3192	0
PgCP_00000340	4340	4340	0
PgCP_00000331	1967	1967	0
PgCP_00000332	2091	2091	0
PgCP_00000333	1689	1689	0
PgCP_00000334	2418	2418	0
PgCP_00000335	2241	2241	0
PgCP_00000336	2281	2281	0
PgCP_00000341	2186	2186	0
PgCP_00000342	2160	2160	0
PgCP_00000343	1355	1355	0
PgCP_00000344	1677	1677	0
PgCP_00000345	2260	2260	0
PgCP_00000346	1807	1807	0
PgCP_00000347	1819	1819	0
PgCP_00000348	1508	1508	0
PgCP_00000349	2332	2332	0
PgCP_00000350	2017	2017	0
PgCP_00000354	2456	2456	0
PgCP_00000355	4394	4394	0
PgCP_00000356	2463	2463	0
PgCP_00000357	1967	1967	0
PgCP_00000358	1885	1885	0
PgCP_00000359	1335	1335	0
PgCP_00000367	1839	1839	0
PgCP_00000368	1858	1858	0
PgCP_00000369	1766	1766	0
PgCP_00000370	1877	1877	0
PgCP_00000371	1785	1785	0
PgCP_00000360	1814	1814	0
PgCP_00000361	1215	1215	0
PgCP_00000372	3347	3347	0
PgCP_00000373	2568	2568	0
PgCP_00000376	1327	1327	0
PgCP_00000374	432	432	0
PgCP_00000390	1803	1803	0
PgCP_00000391	1813	1813	0
PgCP_00000392	2422	2422	0
PgCP_00000393	2258	2258	0
PgCP_00000394	1791	1791	0
PgCP_00000395	1798	1798	0
PgCP_00000400	994	994	0
PgCP_00000397	1200	1200	0
PgCP_00000403	2052	2052	0
PgCP_00000377	4904	4904	0
PgCP_00000378	4896	4896	0
PgCP_00000379	5362	5362	0
PgCP_00000380	5445	5445	0
PgCP_00000381	5455	5455	0
PgCP_00000382	3424	3424	0
PgCP_00000383	3244	3244	0
PgCP_00000384	4297	4297	0
PgCP_00000385	1349	1349	0
PgCP_00000386	988	988	0
PgCP_00000387	883	883	0
PgCP_00000388	1440	1440	0
PgCP_00000389	1180	1180	0
PgCP_00000405	3562	3562	0
PgCP_00000406	4488	4488	0
PgCP_00000407	3632	3632	0
PgCP_00000408	4578	4578	0
PgCP_00000409	3549	3549	0
PgCP_00000410	1532	1532	0
PgCP_00000419	913	913	0
PgCP_00000414	2819	2818	0
PgCP_00000411	2032	2032	0
PgCP_00000412	1972	1972	0
PgCP_00000415	1895	1895	0
PgCP_00000416	1922	1922	0
PgCP_00000420	1044	1044	0
PgCP_00000421	1563	1563	0
PgCP_00000417	1606	1605	0
PgCP_00000413	1113	1113	0
PgCP_00000422	1421	1421	0
PgCP_00000423	1421	1421	0
PgCP_00000424	2026	2026	0
PgCP_00000425	2555	2555	0
PgCP_00000429	1236	1236	0
PgCP_00000430	997	997	0
PgCP_00000431	1220	1220	0
PgCP_00000433	1157	1157	0
PgCP_00000432	1141	1141	0
PgCP_00000434	6176	6176	0
PgCP_00000435	5229	5229	0
PgCP_00000436	4682	4682	0
PgCP_00000438	1603	1603	0
PgCP_00000437	1764	1764	0
PgCP_00000439	1840	1840	0
PgCP_00000446	6314	6314	0
PgCP_00000440	1062	1062	0
PgCP_00000447	968	968	0
PgCP_00000448	1105	1105	0
PgCP_00000449	1378	1378	0
PgCP_00000450	1601	1601	0
PgCP_00000451	1772	1772	0
PgCP_00000452	1925	1925	0
PgCP_00000453	1887	1887	0
PgCP_00000454	1756	1756	0
PgCP_00000459	1492	1492	0
PgCP_00000442	1354	1354	0
PgCP_00000460	1433	1433	0
PgCP_00000461	1734	1734	0
PgCP_00000462	940	940	0
PgCP_00000463	957	957	0
PgCP_00000455	6562	6562	0
PgCP_00000443	3345	3345	0
PgCP_00000444	1967	1967	0
PgCP_00000445	2038	2038	0
PgCP_00000456	1609	1609	0
PgCP_00000457	2441	2441	0
PgCP_00000458	2039	2039	0
PgCP_00000467	462	462	0
PgCP_00000466	813	813	0
PgCP_00000470	946	946	0
PgCP_00000471	1188	1188	0
PgCP_00000472	611	611	0
PgCP_00000473	2798	2798	0
PgCP_00000474	2706	2706	0
PgCP_00000477	1878	1878	0
PgCP_00000478	1854	1854	0
PgCP_00000479	3643	3643	0
PgCP_00000480	3676	3676	0
PgCP_00000481	4006	4006	0
PgCP_00000483	1733	1733	0
PgCP_00000484	1954	1954	0
PgCP_00000485	1769	1769	0
PgCP_00000486	1547	1547	0
PgCP_00000487	2034	2034	0
PgCP_00000488	1926	1926	0
PgCP_00000507	4541	4541	0
PgCP_00000508	4542	4542	0
PgCP_00000509	4537	4537	0
PgCP_00000501	1902	1902	0
PgCP_00000502	1893	1893	0
PgCP_00000503	943	943	0
PgCP_00000510	1805	1805	0
PgCP_00000504	844	844	0
PgCP_00000505	950	950	0
PgCP_00000506	1171	1171	0
PgCP_00000511	1513	1513	0
PgCP_00000512	3995	3995	0
PgCP_00000515	7403	7403	0
PgCP_00000516	7688	7688	0
PgCP_00000517	7262	7262	0
PgCP_00000518	4188	4188	0
PgCP_00000519	3376	3376	0
PgCP_00000520	1278	1278	0
PgCP_00000521	1282	1282	0
PgCP_00000522	1689	1689	0
PgCP_00000523	1693	1693	0
PgCP_00000524	1237	1237	0
PgCP_00000525	2115	2115	0
PgCP_00000526	1248	1248	0
PgCP_00000528	1007	1007	0
PgCP_00000530	3398	3398	0
PgCP_00000531	2964	2964	0
PgCP_00000532	3423	3423	0
PgCP_00000533	2955	2955	0
PgCP_00000534	3923	3923	0
PgCP_00000535	3920	3920	0
PgCP_00000529	1924	1924	0
PgCP_00000544	1488	1488	0
PgCP_00000536	2320	2320	0
PgCP_00000545	2492	2492	0
PgCP_00000546	613	613	0
PgCP_00000547	2497	2497	0
PgCP_00000537	4184	4184	0
PgCP_00000538	1874	1874	0
PgCP_00000539	848	848	0
PgCP_00000540	1557	1557	0
PgCP_00000541	1555	1555	0
PgCP_00000542	2299	2299	0
PgCP_00000543	2292	2292	0
PgCP_00000548	1115	1115	0
PgCP_00000549	1365	1365	0
PgCP_00000550	164	164	0
PgCP_00000553	898	898	0
PgCP_00000554	875	875	0
PgCP_00000555	2130	2130	0
PgCP_00000556	1296	1296	0
PgCP_00000557	1577	1577	0
PgCP_00000558	2089	2089	0
PgCP_00000559	1666	1666	0
PgCP_00000560	4303	4303	0
PgCP_00000561	2618	2618	0
PgCP_00000562	5236	5236	0
PgCP_00000563	5320	5320	0
PgCP_00000564	3426	3426	0
PgCP_00000565	1569	1569	0
PgCP_00000566	1272	1272	0
PgCP_00000567	3996	3996	0
PgCP_00000573	1934	1934	0
PgCP_00000569	2415	2415	0
PgCP_00000570	2763	2763	0
PgCP_00000578	1733	1733	0
PgCP_00000579	1033	1033	0
PgCP_00000580	1014	1014	0
PgCP_00000581	1501	1501	0
PgCP_00000582	1349	1349	0
PgCP_00000583	1288	1288	0
PgCP_00000584	2126	2126	0
PgCP_00000585	2205	2205	0
PgCP_00000586	2844	2844	0
PgCP_00000587	840	840	0
PgCP_00000594	745	745	0
PgCP_00000588	2425	2425	0
PgCP_00000589	2672	2672	0
PgCP_00000590	986	986	0
PgCP_00000595	4912	4912	0
PgCP_00000591	5731	5731	0
PgCP_00000592	5415	5415	0
PgCP_00000596	2908	2908	0
PgCP_00000597	8880	8880	0
PgCP_00000598	8165	8165	0
PgCP_00000599	8160	8160	0
PgCP_00000600	2033	2033	0
PgCP_00000601	1350	1350	0
PgCP_00000602	1415	1415	0
PgCP_00000603	3703	3703	0
PgCP_00000604	985	985	0
PgCP_00000605	1040	1039	0
PgCP_00000608	1666	1666	0
PgCP_00000609	1717	1717	0
PgCP_00000606	1754	1754	0
PgCP_00000610	2930	2930	0
PgCP_00000611	912	912	0
PgCP_00000612	883	883	0
PgCP_00000613	812	812	0
PgCP_00000614	1499	1499	0
PgCP_00000615	842	842	0
PgCP_00000616	2172	2172	0
PgCP_00000617	2662	2662	0
PgCP_00000620	793	793	0
PgCP_00000621	1693	1693	0
PgCP_00000622	1825	1825	0
PgCP_00000623	1787	1787	0
PgCP_00000624	1925	1925	0
PgCP_00000625	1116	1116	0
PgCP_00000618	1368	1368	0
PgCP_00000619	1421	1421	0
PgCP_00000627	817	817	0
PgCP_00000628	2264	2264	0
PgCP_00000629	2961	2961	0
PgCP_00000630	2698	2698	0
PgCP_00000631	2723	2723	0
PgCP_00000632	2338	2338	0
PgCP_00000633	1228	1228	0
PgCP_00000634	1054	1054	0
PgCP_00000635	1209	1209	0
PgCP_00000636	1209	1209	0
PgCP_00000637	1198	1198	0
PgCP_00000638	670	670	0
PgCP_00000639	3791	3791	0
PgCP_00000640	3747	3747	0
PgCP_00000641	2550	2550	0
PgCP_00000650	1721	1721	0
PgCP_00000651	1458	1458	0
PgCP_00000652	2671	2671	0
PgCP_00000653	2420	2420	0
PgCP_00000654	2786	2786	0
PgCP_00000655	2765	2765	0
PgCP_00000656	1788	1788	0
PgCP_00000657	1601	1601	0
PgCP_00000658	1511	1511	0
PgCP_00000659	1765	1765	0
PgCP_00000660	2536	2536	0
PgCP_00000661	1740	1740	0
PgCP_00000644	2670	2670	0
PgCP_00000645	2877	2877	0
PgCP_00000646	1319	1319	0
PgCP_00000647	1526	1526	0
PgCP_00000648	1306	1306	0
PgCP_00000662	689	689	0
PgCP_00000663	1249	1249	0
PgCP_00000664	1905	1905	0
PgCP_00000665	2134	2134	0
PgCP_00000686	2453	2453	0
PgCP_00000666	1120	1120	0
PgCP_00000667	1138	1138	0
PgCP_00000676	1008	1008	0
PgCP_00000677	850	850	0
PgCP_00000678	1415	1415	0
PgCP_00000679	1434	1434	0
PgCP_00000687	1055	1055	0
PgCP_00000681	876	876	0
PgCP_00000682	3641	3641	0
PgCP_00000680	2453	2453	0
PgCP_00000683	986	986	0
PgCP_00000684	921	921	0
PgCP_00000688	780	780	0
PgCP_00000685	558	558	0
PgCP_00000689	1051	1051	0
PgCP_00000691	2747	2747	0
PgCP_00000692	2128	2128	0
PgCP_00000693	2255	2255	0
PgCP_00000694	3114	3114	0
PgCP_00000695	2336	2336	0
PgCP_00000696	2311	2311	0
PgCP_00000697	2123	2123	0
PgCP_00000698	1668	1668	0
PgCP_00000699	2104	2104	0
PgCP_00000700	2107	2107	0
PgCP_00000701	1740	1740	0
PgCP_00000702	498	498	0
PgCP_00000703	1819	1819	0
PgCP_00000713	1102	1102	0
PgCP_00000714	1431	1431	0
PgCP_00000706	1435	1435	0
PgCP_00000707	1548	1548	0
PgCP_00000708	1512	1512	0
PgCP_00000709	1136	1136	0
PgCP_00000715	2510	2510	0
PgCP_00000716	1950	1950	0
PgCP_00000717	1936	1936	0
PgCP_00000718	2858	2858	0
PgCP_00000719	2822	2822	0
PgCP_00000720	2714	2714	0
PgCP_00000721	2629	2629	0
PgCP_00000722	2716	2716	0
PgCP_00000723	2809	2809	0
PgCP_00000724	2700	2700	0
PgCP_00000725	2223	2223	0
PgCP_00000726	1853	1853	0
PgCP_00000727	1835	1835	0
PgCP_00000728	1857	1857	0
PgCP_00000729	1886	1886	0
PgCP_00000730	2063	2063	0
PgCP_00000731	599	599	0
PgCP_00000732	705	705	0
PgCP_00000733	594	594	0
PgCP_00000734	610	610	0
PgCP_00000737	3836	3836	0
PgCP_00000738	2221	2221	0
PgCP_00000739	2663	2663	0
PgCP_00000740	3786	3786	0
PgCP_00000741	2317	2317	0
PgCP_00000743	912	912	0
PgCP_00000742	815	815	0
PgCP_00000744	912	912	0
PgCP_00000745	2987	2987	0
PgCP_00000746	1830	1830	0
PgCP_00000747	918	918	0
PgCP_00000748	864	864	0
PgCP_00000749	1286	1286	0
PgCP_00000750	3628	3628	0
PgCP_00000751	4019	4019	0
PgCP_00000752	4812	4812	0
PgCP_00000754	965	965	0
PgCP_00000755	1520	1520	0
PgCP_00000757	3829	3828	0
PgCP_00000760	2046	2046	0
PgCP_00000761	3256	3256	0
PgCP_00000762	1914	1914	0
PgCP_00000763	1923	1923	0
PgCP_00000764	1937	1937	0
PgCP_00000766	474	474	0
PgCP_00000767	1048	1048	0
PgCP_00000770	1713	1713	0
PgCP_00000768	2369	2369	0
PgCP_00000774	4296	4296	0
PgCP_00000775	676	676	0
PgCP_00000777	3753	3753	0
PgCP_00000779	1260	1260	0
PgCP_00000780	1460	1460	0
PgCP_00000781	1722	1722	0
PgCP_00000782	2664	2664	0
PgCP_00000783	3795	3795	0
PgCP_00000785	1053	1053	0
PgCP_00000791	2187	2186	0
PgCP_00000793	3068	3068	0
PgCP_00000794	1901	1901	0
PgCP_00000797	7005	7005	0
PgCP_00000798	6984	6984	0
PgCP_00000799	6893	6893	0
PgCP_00000800	7010	7010	0
PgCP_00000801	1292	1292	0
PgCP_00000802	1022	1022	0
PgCP_00000803	1459	1459	0
PgCP_00000804	1040	1040	0
PgCP_00000805	1442	1442	0
PgCP_00000806	5231	5231	0
PgCP_00000807	5610	5610	0
PgCP_00000808	6824	6824	0
PgCP_00000809	7869	7869	0
PgCP_00000810	6898	6898	0
PgCP_00000813	2709	2709	0
PgCP_00000811	2085	2085	0
PgCP_00000812	2287	2287	0
PgCP_00000814	9036	9036	0
PgCP_00000815	9021	9021	0
PgCP_00000816	1887	1887	0
PgCP_00000817	1870	1870	0
PgCP_00000818	2203	2203	0
PgCP_00000819	2489	2489	0
PgCP_00000820	1511	1511	0
PgCP_00000821	2612	2612	0
PgCP_00000822	1744	1744	0
PgCP_00000823	1829	1829	0
PgCP_00000824	2020	2020	0
PgCP_00000825	2024	2024	0
PgCP_00000826	1965	1965	0
PgCP_00000827	1770	1770	0
PgCP_00000828	1405	1405	0
PgCP_00000830	865	865	0
PgCP_00000833	1504	1504	0
PgCP_00000837	3064	3064	0
PgCP_00000838	1151	1151	0
PgCP_00000842	875	875	0
PgCP_00000843	2404	2404	0
PgCP_00000839	3281	3281	0
PgCP_00000840	2027	2027	0
PgCP_00000841	2315	2315	0
PgCP_00000844	1621	1621	0
PgCP_00000845	1864	1864	0
PgCP_00000846	2346	2346	0
PgCP_00000847	2634	2634	0
PgCP_00000848	2645	2645	0
PgCP_00000849	2333	2333	0
PgCP_00000850	959	959	0
PgCP_00000851	968	968	0
PgCP_00000852	1391	1391	0
PgCP_00000853	835	835	0
PgCP_00000858	289	289	0
PgCP_00000859	2280	2280	0
PgCP_00000862	2404	2404	0
PgCP_00000863	1944	1944	0
PgCP_00000864	1492	1492	0
PgCP_00000865	1352	1352	0
PgCP_00000866	1379	1379	0
PgCP_00000867	1421	1421	0
PgCP_00000868	1953	1953	0
PgCP_00000869	2972	2972	0
PgCP_00000870	4160	4160	0
PgCP_00000871	3606	3606	0
PgCP_00000872	3238	3238	0
PgCP_00000873	2503	2503	0
PgCP_00000874	2871	2871	0
PgCP_00000875	2271	2271	0
PgCP_00000876	2504	2504	0
PgCP_00000877	2883	2883	0
PgCP_00000878	2276	2276	0
PgCP_00000879	860	860	0
PgCP_00000880	2265	2265	0
PgCP_00000881	1917	1917	0
PgCP_00000884	3508	3508	0
PgCP_00000882	1029	1029	0
PgCP_00000883	1443	1443	0
PgCP_00000887	455	455	0
PgCP_00000888	1758	1757	0
PgCP_00000889	1763	1762	0
PgCP_00000890	1027	1027	0
PgCP_00000891	1798	1798	0
PgCP_00000892	1529	1529	0
PgCP_00000893	1527	1527	0
PgCP_00000894	2238	2238	0
PgCP_00000895	2168	2168	0
PgCP_00000898	3730	3730	0
PgCP_00000901	3263	3263	0
PgCP_00000902	3248	3248	0
PgCP_00000903	4466	4466	0
PgCP_00000904	3369	3369	0
PgCP_00000905	3417	3417	0
PgCP_00000907	1167	1167	0
PgCP_00000908	1527	1527	0
PgCP_00000917	1183	1183	0
PgCP_00000914	1769	1769	0
PgCP_00000924	2524	2524	0
PgCP_00000925	2266	2266	0
PgCP_00000918	2992	2992	0
PgCP_00000919	2927	2927	0
PgCP_00000920	2551	2551	0
PgCP_00000921	2658	2658	0
PgCP_00000922	2497	2497	0
PgCP_00000923	1076	1076	0
PgCP_00000927	1110	1110	0
PgCP_00000932	2115	2115	0
PgCP_00000933	2123	2123	0
PgCP_00000934	1917	1917	0
PgCP_00000935	1937	1937	0
PgCP_00000937	1483	1483	0
PgCP_00000938	1487	1487	0
PgCP_00000939	1495	1495	0
PgCP_00000940	1502	1502	0
PgCP_00000941	2172	2172	0
PgCP_00000944	1867	1867	0
PgCP_00000945	1768	1768	0
PgCP_00000947	2574	2574	0
PgCP_00000948	2349	2349	0
PgCP_00000949	2390	2390	0
PgCP_00000950	2332	2332	0
PgCP_00000951	1161	1161	0
PgCP_00000960	1385	1385	0
PgCP_00000961	527	527	0
PgCP_00000953	758	758	0
PgCP_00000954	665	665	0
PgCP_00000955	1637	1637	0
PgCP_00000956	1898	1898	0
PgCP_00000957	3441	3441	0
PgCP_00000958	1305	1305	0
PgCP_00000959	2402	2402	0
PgCP_00000972	1571	1571	0
PgCP_00000962	2565	2565	0
PgCP_00000963	2634	2634	0
PgCP_00000964	2165	2165	0
PgCP_00000965	1679	1679	0
PgCP_00000966	1092	1092	0
PgCP_00000967	1351	1351	0
PgCP_00000968	2606	2606	0
PgCP_00000969	3223	3223	0
PgCP_00000970	2935	2935	0
PgCP_00000971	1284	1284	0
PgCP_00000983	1026	1025	0
PgCP_00000984	734	734	0
PgCP_00000981	1396	1396	0
PgCP_00000982	1343	1343	0
PgCP_00000975	1975	1975	0
PgCP_00000976	2082	2082	0
PgCP_00000977	1672	1672	0
PgCP_00000978	997	997	0
PgCP_00000985	2072	2072	0
PgCP_00000986	1980	1980	0
PgCP_00000987	2258	2258	0
PgCP_00000988	1390	1390	0
PgCP_00000989	2098	2098	0
PgCP_00000990	2172	2172	0
PgCP_00000997	1963	1963	0
PgCP_00000998	2030	2030	0
PgCP_00000999	2142	2142	0
PgCP_00001000	1788	1788	0
PgCP_00001001	2053	2053	0
PgCP_00001002	2049	2049	0
PgCP_00001005	1778	1778	0
PgCP_00001006	1051	1051	0
PgCP_00001019	1351	1351	0
PgCP_00001007	2252	2252	0
PgCP_00001012	1709	1709	0
PgCP_00001020	1392	1392	0
PgCP_00001015	505	505	0
PgCP_00001016	501	501	0
PgCP_00001017	2912	2912	0
PgCP_00001018	1296	1296	0
PgCP_00001039	1243	1243	0
PgCP_00001040	1243	1243	0
PgCP_00001021	2217	2217	0
PgCP_00001022	1059	1059	0
PgCP_00001023	1012	1012	0
PgCP_00001024	921	921	0
PgCP_00001025	2283	2283	0
PgCP_00001026	2104	2104	0
PgCP_00001027	2237	2237	0
PgCP_00001028	2024	2024	0
PgCP_00001029	1566	1566	0
PgCP_00001030	1711	1711	0
PgCP_00001031	1543	1543	0
PgCP_00001032	1688	1688	0
PgCP_00001033	1680	1680	0
PgCP_00001034	1770	1770	0
PgCP_00001035	1961	1961	0
PgCP_00001036	1111	1111	0
PgCP_00001047	2665	2665	0
